# x	f(x)	S_N(x)
1.884956	0.054136	0.075740
1.891239	0.053682	0.075690
1.897522	0.053230	0.075638
1.903805	0.052778	0.075585
1.910088	0.052327	0.075531
1.916372	0.051876	0.075476
1.922655	0.051426	0.075419
1.928938	0.050977	0.075361
1.935221	0.050528	0.075302
1.941504	0.050080	0.075242
1.947787	0.049633	0.075180
1.954071	0.049187	0.075116
1.960354	0.048741	0.075052
1.966637	0.048297	0.074986
1.972920	0.047853	0.074918
1.979203	0.047410	0.074850
1.985487	0.046968	0.074779
1.991770	0.046527	0.074708
1.998053	0.046087	0.074634
2.004336	0.045648	0.074560
2.010619	0.045209	0.074483
2.016902	0.044772	0.074405
2.023186	0.044336	0.074326
2.029469	0.043901	0.074245
2.035752	0.043467	0.074162
2.042035	0.043034	0.074078
2.048318	0.042603	0.073992
2.054602	0.042172	0.073905
2.060885	0.041743	0.073815
2.067168	0.041315	0.073724
2.073451	0.040888	0.073631
2.079734	0.040462	0.073536
2.086018	0.040038	0.073440
2.092301	0.039614	0.073341
2.098584	0.039193	0.073241
2.104867	0.038772	0.073139
2.111150	0.038353	0.073035
2.117433	0.037935	0.072929
2.123717	0.037519	0.072820
2.130000	0.037104	0.072710
2.136283	0.036690	0.072598
2.142566	0.036278	0.072483
2.148849	0.035868	0.072367
2.155133	0.035458	0.072248
2.161416	0.035051	0.072127
2.167699	0.034645	0.072004
2.173982	0.034240	0.071878
2.180265	0.033837	0.071750
2.186548	0.033436	0.071620
2.192832	0.033036	0.071487
2.199115	0.032638	0.071351
2.205398	0.032242	0.071214
2.211681	0.031847	0.071073
2.217964	0.031454	0.070930
2.224248	0.031063	0.070784
2.230531	0.030673	0.070636
2.236814	0.030285	0.070485
2.243097	0.029899	0.070331
2.249380	0.029515	0.070174
2.255664	0.029132	0.070014
2.261947	0.028751	0.069851
2.268230	0.028373	0.069686
2.274513	0.027996	0.069517
2.280796	0.027620	0.069345
2.287079	0.027247	0.069169
2.293363	0.026876	0.068991
2.299646	0.026506	0.068809
2.305929	0.026139	0.068623
2.312212	0.025774	0.068435
2.318495	0.025410	0.068242
2.324779	0.025049	0.068046
2.331062	0.024689	0.067847
2.337345	0.024332	0.067644
2.343628	0.023976	0.067436
2.349911	0.023623	0.067225
2.356194	0.023272	0.067010
2.362478	0.022923	0.066791
2.368761	0.022576	0.066568
2.375044	0.022231	0.066341
2.381327	0.021888	0.066109
2.387610	0.021547	0.065873
2.393894	0.021209	0.065632
2.400177	0.020873	0.065387
2.406460	0.020539	0.065137
2.412743	0.020207	0.064883
2.419026	0.019878	0.064624
2.425310	0.019550	0.064359
2.431593	0.019225	0.064090
2.437876	0.018903	0.063816
2.444159	0.018582	0.063536
2.450442	0.018264	0.063251
2.456725	0.017949	0.062961
2.463009	0.017635	0.062665
2.469292	0.017324	0.062363
2.475575	0.017015	0.062056
