# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
-0.95066231,-0.30260521,-0.29202408,-0.30396731,0.01058113,0.00136210
-0.93807075,-0.29859719,-0.29193288,-0.29996712,0.00666431,0.00136993
-0.92547920,-0.29458918,-0.29225738,-0.29596693,0.00233180,0.00137776
-0.91288764,-0.29058116,-0.29270895,-0.29196675,0.00212779,0.00138558
-0.90029609,-0.28657315,-0.29299239,-0.28796656,0.00641925,0.00139341
-0.88770454,-0.28256513,-0.29282542,-0.28396637,0.01026028,0.00140124
-0.87511298,-0.27855711,-0.29195713,-0.27996618,0.01340002,0.00140907
-0.86252143,-0.27454910,-0.29018438,-0.27596599,0.01563529,0.00141690
-0.84992988,-0.27054108,-0.28736485,-0.27196581,0.01682377,0.00142472
-0.83733832,-0.26653307,-0.28342605,-0.26796562,0.01689299,0.00143255
-0.82474677,-0.26252505,-0.27836972,-0.26396543,0.01584467,0.00144038
-0.81215522,-0.25851703,-0.27227128,-0.25996524,0.01375425,0.00144821
-0.79956366,-0.25450902,-0.26527446,-0.25596506,0.01076544,0.00145604
-0.78697211,-0.25050100,-0.25758147,-0.25196487,0.00708047,0.00146387
-0.77438055,-0.24649299,-0.24943935,-0.24796468,0.00294637,0.00147169
-0.76178900,-0.24248497,-0.24112350,-0.24396449,0.00136147,0.00147952
-0.74919745,-0.23847695,-0.23291933,-0.23996430,0.00555762,0.00148735
-0.73660589,-0.23446894,-0.22510349,-0.23596412,0.00936544,0.00149518
-0.72401434,-0.23046092,-0.21792562,-0.23196393,0.01253530,0.00150301
-0.71142279,-0.22645291,-0.21159207,-0.22796374,0.01486083,0.00151083
-0.69883123,-0.22244489,-0.20625250,-0.22396355,0.01619239,0.00151866
-0.68623968,-0.21843687,-0.20199029,-0.21996336,0.01644658,0.00152649
-0.67364812,-0.21442886,-0.19881735,-0.21596318,0.01561150,0.00153432
-0.66105657,-0.21042084,-0.19667367,-0.21196299,0.01374717,0.00154215
-0.64846502,-0.20641283,-0.19543156,-0.20796280,0.01098126,0.00154997
-0.63587346,-0.20240481,-0.19490441,-0.20396261,0.00750040,0.00155780
-0.62328191,-0.19839679,-0.19485920,-0.19996242,0.00353759,0.00156563
-0.61069036,-0.19438878,-0.19503207,-0.19596224,0.00064329,0.00157346
-0.59809880,-0.19038076,-0.19514583,-0.19196205,0.00476507,0.00158129
-0.58550725,-0.18637275,-0.19492829,-0.18796186,0.00855554,0.00158912
-0.57291569,-0.18236473,-0.19413018,-0.18396167,0.01176545,0.00159694
-0.56032414,-0.17835671,-0.19254152,-0.17996149,0.01418481,0.00160477
-0.54773259,-0.17434870,-0.19000527,-0.17596130,0.01565657,0.00161260
-0.53514103,-0.17034068,-0.18642753,-0.17196111,0.01608685,0.00162043
-0.52254948,-0.16633267,-0.18178348,-0.16796092,0.01545082,0.00162826
-0.50995793,-0.16232465,-0.17611881,-0.16396073,0.01379416,0.00163608
-0.49736637,-0.15831663,-0.16954643,-0.15996055,0.01122980,0.00164391
-0.48477482,-0.15430862,-0.16223882,-0.15596036,0.00793020,0.00165174
-0.47218326,-0.15030060,-0.15441645,-0.15196017,0.00411585,0.00165957
-0.45959171,-0.14629259,-0.14633312,-0.14795998,0.00004053,0.00166740
